title,label
"NASA confirms water on the moon",REAL
"Aliens landed in New York last night",FAKE
"Stock markets hit record highs amid tech rally",REAL
"Scientists discover cure for aging",FAKE
"Government denies climate change report",FAKE
"Apple releases new iPhone with holographic display",FAKE
"COVID-19 vaccine found to be ineffective",FAKE
"Local man wins lottery twice in one week",REAL
"World leaders gather to discuss global warming",REAL
"Chocolate cures depression, study claims",FAKE
"Facebook to charge users for access",FAKE
"New dinosaur species discovered in Argentina",REAL
"Elon Musk announces Mars colony timeline",REAL
"Study finds link between coffee and longer life",REAL
"Donald Trump buys stake in TikTok",FAKE
"Google AI passes medical licensing exam",REAL
"India launches reusable space shuttle",REAL
"Amazon rainforest fire caused by lightning",REAL
"Scientists clone extinct mammoth",FAKE
"Netflix to stream live sports in 2026",REAL
"New York bans all plastic packaging",REAL
"Bill Gates funds anti-aging research",REAL
"UFO spotted over Sydney Opera House",FAKE
"Researchers create invisibility cloak",FAKE
"China builds floating city prototype",FAKE
"Tesla unveils flying car concept",FAKE
"World’s oldest tree found in Norway",REAL
"Microsoft develops mind-reading headset",FAKE
"Japan creates robot that cooks sushi",REAL
"Global ban on fossil fuels proposed",REAL
"New vaccine eliminates common cold",FAKE
"Time travel experiment succeeds in lab",FAKE
"Moon base construction begins in 2027",FAKE
"AI writes bestselling novel",REAL
"Ocean cleanup robot deployed worldwide",REAL
"Scientists detect parallel universe signals",FAKE
"India to host 2032 Olympics",REAL
"Facebook launches virtual reality school",FAKE
"NASA detects alien radio signals",FAKE
"Russia unveils hypersonic passenger jet",REAL
"Google Maps adds teleportation feature",FAKE
"New species of intelligent octopus found",FAKE
"UN declares global climate emergency",REAL
"Apple Watch monitors blood sugar levels",REAL
"Scientists grow meat from air",REAL
"World’s first underwater hotel opens",REAL
"AI elected mayor in small town",FAKE
"New planet discovered in solar system",REAL
"Microsoft buys entire island for data center",FAKE
"Robot wins chess world championship",REAL
"Global internet outage predicted for 2026",FAKE
"Scientists revive ancient virus",REAL
"Amazon drone delivers pizza in 2 minutes",FAKE
"New battery lasts 100 years",FAKE
"India develops earthquake prediction AI",REAL
"NASA finds life on Europa",FAKE
"China launches space elevator test",FAKE
"Google creates emotion-sensing phone",FAKE
"World’s largest solar farm opens in Sahara",REAL
"AI solves unsolved math theorem",REAL
"New element added to periodic table",REAL
"Facebook introduces brain-to-brain messaging",FAKE
"Scientists build earthquake-proof skyscraper",REAL
"Tesla car drives across USA without charging",FAKE
"New vaccine prevents all flu strains",FAKE
"UN creates global digital currency",FAKE
"Robot performs successful heart surgery",REAL
"Apple announces foldable MacBook",REAL
"Scientists decode dolphin language",REAL
"India bans all diesel vehicles by 2030",REAL
"New drug reverses memory loss",FAKE
"AI predicts stock market with 90% accuracy",FAKE
"NASA discovers second Earth",FAKE
"Google launches virtual travel portal",REAL
"World’s first 3D printed skyscraper built",REAL
"Scientists create artificial gravity",FAKE
"Facebook opens virtual theme park",FAKE
"New material stronger than diamond discovered",REAL
"AI becomes Supreme Court advisor",FAKE
"China unveils self-healing roads",REAL
"Amazon opens store with no employees",REAL
"New species of bird mimics human speech",REAL
"Microsoft AI passes Turing test",REAL
"Robot teaches kindergarten class",FAKE
"India builds solar-powered bullet train",REAL
"Scientists find cure for blindness",REAL
"Apple develops smart contact lenses",REAL
"UN mandates AI ethics guidelines",REAL
"New vaccine ends malaria",FAKE
"Tesla builds self-repairing car",FAKE
"Google AI becomes chess grandmaster",REAL
"NASA confirms wormhole near Saturn",FAKE
"Facebook launches dating app for pets",FAKE
"Scientists create synthetic brain",FAKE
"India launches AI-powered farming drones",REAL
"New telescope sees through black holes",REAL
"Robot becomes Olympic athlete",FAKE
"Apple unveils teleportation prototype",FAKE
"UN bans deepfake technology",REAL
"AI writes new national anthem",FAKE
"China builds underwater city",FAKE
"Amazon drone rescues hikers",FAKE
"New species of tree glows at night",FAKE
"Microsoft develops emotion-sensing keyboard",FAKE
"NASA discovers floating island on Mars",FAKE
"Robot becomes CEO of tech company",FAKE
"India creates AI-powered traffic system",REAL
"Scientists grow organs in space",REAL
"Facebook introduces virtual pets",FAKE
"Tesla unveils solar-powered plane",REAL
"Google AI wins Nobel Prize",FAKE
